"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatotLevenshtein record1Value","[0] RestaurantNameComparatotLevenshtein record2Value","[0] RestaurantNameComparatotLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatotLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatotLevenshtein similarity","[0] RestaurantNameComparatotLevenshtein postproccesedSimilarity","[1] RestaurantAddressComparatorLevenshtein record1Value","[1] RestaurantAddressComparatorLevenshtein record2Value","[1] RestaurantAddressComparatorLevenshtein record1PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein record2PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein similarity","[1] RestaurantAddressComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","zomato_3272","yelp_1852","0.1545454545454545",,"tae nung korean barbeque","guero cocina mexicana","tae nung korean barbeque","guero cocina mexicana","0.16666666666666663","0.16666666666666663","1040 western avenue","737 los angeles street","1040 western avenue","737 los angeles street","0.13636363636363635","0.13636363636363635"
"LinearCombinationMatchingRule","zomato_6196","yelp_746","0.17333333333333334",,"brasserie ruhlmann","dark horse","brasserie ruhlmann","dark horse","0.2222222222222222","0.2222222222222222","45 rockefeller plaza","17 murray street","45 rockefeller plaza","17 murray street","0.09999999999999998","0.09999999999999998"
"LinearCombinationMatchingRule","zomato_748","yelp_2816","0.13511111111111113",,"bow truss coffee roasters","havana","bow truss coffee roasters","havana","0.040000000000000036","0.040000000000000036","406 n wells","412 n clark street","406 n wells","412 n clark street","0.2777777777777778","0.2777777777777778"
"LinearCombinationMatchingRule","zomato_7396","yelp_559","0.18308823529411766",,"brasserie","nomad restaurant","brasserie","nomad restaurant","0.1875","0.1875","100 e 53rd street","1170 broadway","100 e 53rd street","1170 broadway","0.17647058823529416","0.17647058823529416"
"LinearCombinationMatchingRule","zomato_7396","yelp_558","0.25668016194331983",,"brasserie","houdini kitchen laboratory","brasserie","houdini kitchen laboratory","0.07692307692307687","0.07692307692307687","100 e 53rd street","1563 decatur street","100 e 53rd street","1563 decatur street","0.5263157894736843","0.5263157894736843"
"LinearCombinationMatchingRule","zomato_2708","yelp_1869","0.13142857142857142",,"cicada","gulfstream","cicada","gulfstream","0.09999999999999998","0.09999999999999998","617 olive street","10250 santa monica boulevard","617 olive street","10250 santa monica boulevard","0.1785714285714286","0.1785714285714286"
"LinearCombinationMatchingRule","zomato_2708","yelp_1868","0.08499999999999999",,"cicada","wat dong moon lek noodle","cicada","wat dong moon lek noodle","0.04166666666666663","0.04166666666666663","617 olive street","4356 fountain avenue","617 olive street","4356 fountain avenue","0.15000000000000002","0.15000000000000002"
"LinearCombinationMatchingRule","zomato_491","yelp_2551","0.1927272727272727",,"egg shack","mr shish kabobs","egg shack","mr shish kabobs","0.19999999999999996","0.19999999999999996","1727 w 127th street","6656 w diversey avenue","1727 w 127th street","6656 w diversey avenue","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","zomato_7299","yelp_433","0.24117647058823533",,"haveli banjara","caracas arepa bar","haveli banjara","caracas arepa bar","0.23529411764705888","0.23529411764705888","100 2nd avenue","291 grand street","100 2nd avenue","291 grand street","0.25","0.25"
"LinearCombinationMatchingRule","zomato_7299","yelp_432","0.3403361344537815",,"haveli banjara","arepas cafe","haveli banjara","arepas cafe","0.2142857142857143","0.2142857142857143","100 2nd avenue","33 07 36th avenue","100 2nd avenue","33 07 36th avenue","0.5294117647058824","0.5294117647058824"
"LinearCombinationMatchingRule","zomato_4092","yelp_1253","0.15523809523809526",,"cafe gratitude","comfort la","cafe gratitude","comfort la","0.2142857142857143","0.2142857142857143","512 rose avenue","1801 7th street","512 rose avenue","1801 7th street","0.06666666666666665","0.06666666666666665"
"LinearCombinationMatchingRule","zomato_4092","yelp_1252","0.17777777777777778",,"cafe gratitude","littlefork","cafe gratitude","littlefork","0.0","0.0","512 rose avenue","1600 wilcox avenue","512 rose avenue","1600 wilcox avenue","0.4444444444444444","0.4444444444444444"
"LinearCombinationMatchingRule","zomato_2606","yelp_1764","0.1723076923076923",,"hara sushi","village idiot","hara sushi","village idiot","0.15384615384615385","0.15384615384615385","12222 willshire boulevard","7383 melrose avenue","12222 willshire boulevard","7383 melrose avenue","0.19999999999999996","0.19999999999999996"
